TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,2,11,22,5,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2024,1,8,0,0,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,1,18,12,5,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,2,29,6,0,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2024,1,16,1,40,10XX CANADA PL,Central Business District,491434.1768,5459565.0465
Break and Enter Commercial,2024,2,11,5,30,10XX HAMILTON ST,Central Business District,491198.2577,5458147.9956
Break and Enter Commercial,2024,1,4,15,7,10XX HORNBY ST,Central Business District,490833.289,5458565.0539
Break and Enter Commercial,2024,2,14,5,58,10XX HOWE ST,Central Business District,490889.5958,5458482.8579
Break and Enter Commercial,2024,1,24,4,57,10XX MARINASIDE CRES,Central Business District,491414.5679,5457873.0238
Break and Enter Commercial,2024,1,26,16,22,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2024,3,26,20,32,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2024,3,18,17,45,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,3,20,3,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,4,1,16,51,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Break and Enter Commercial,2024,4,2,10,27,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Break and Enter Commercial,2024,1,8,1,0,11XX BARCLAY ST,West End,490751.7991,5458971.3788
Break and Enter Commercial,2024,2,19,9,56,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2024,2,9,3,30,11XX BROUGHTON ST,West End,490120.4144,5459031.0221
Break and Enter Commercial,2024,1,27,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.2832
Break and Enter Commercial,2024,1,31,4,30,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2024,4,3,4,34,11XX E GEORGIA ST,Strathcona,494090.2903,5458385.8008
Break and Enter Commercial,2024,1,9,3,45,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
